id,question,answer,category,keywords
1,What programs does FAIX offer?,"FAIX offers Bachelor's degrees in Computer Science, Data Science, Artificial Intelligence, and Cybersecurity. We also offer Master's programs in Machine Learning and Software Engineering.",programs,"program, course, degree, bachelor, master, major"
2,How do I register for the semester?,"You can register through the Student Portal at portal.faix.edu. Login with your student ID, go to 'Course Registration', select your courses, and submit before the deadline. Contact the registrar at registrar@faix.edu for help.",registration,"register, add subject, enroll, course registration, semester"
3,Who is the dean of FAIX?,The dean of FAIX is Dr. Sarah Mitchell. You can reach her office at dean@faix.edu or call +60-3-5544-7788.,staff,"dean, staff, contact, administration, leadership"
4,When does the fall semester start?,"The Fall 2025 semester starts on September 8, 2025. Orientation week is September 1-5. Classes begin September 8 and end December 15, 2025.",schedule,"semester, academic calendar, start date, fall, schedule"
5,What are the tuition fees?,"Annual tuition for Malaysian students is RM 18,000 per year. International students pay RM 28,000 per year. Fees can be paid in two installments per semester.",fees,"tuition, fees, cost, payment, price, money"
6,How can I apply for financial aid?,"Financial aid applications are available at finaid.faix.edu. Submit your application along with supporting documents by July 15 for fall semester. Contact finaid@faix.edu for questions.",financial_aid,"scholarship, financial aid, funding, loan, bursary"
7,Where is the FAIX campus located?,"FAIX is located at Jalan Universiti 45, 70300 Seremban, Negeri Sembilan, Malaysia. The campus is 10 minutes from Seremban city center.",location,"location, address, campus, where, map, direction"
8,What are the library opening hours?,"The FAIX Library is open Monday-Friday 8:00 AM - 10:00 PM, Saturday 9:00 AM - 6:00 PM, and Sunday 10:00 AM - 5:00 PM. Extended hours during exam periods.",facilities,"library, hours, opening time, study, books"
9,How do I reset my student portal password?,"Go to portal.faix.edu and click 'Forgot Password'. Enter your student email and follow the reset instructions sent to your inbox. For issues, contact IT support at itsupport@faix.edu.",technical,"password, login, portal, reset, access, account"
10,What programming languages are taught in CS program?,"The Computer Science program covers Python, Java, C++, JavaScript, SQL, and R. Students also learn HTML/CSS and frameworks like React and Django in advanced courses.",curriculum,"programming, language, code, CS, computer science, learning"
11,Are there internship opportunities?,"Yes! FAIX has partnerships with over 50 tech companies including Microsoft, Google Malaysia, and Grab. Career Services helps match students with internships. Contact careers@faix.edu for more info.",career,"internship, job, work, career, placement, industry"
12,What is the minimum GPA requirement to graduate?,"Students must maintain a minimum CGPA of 2.0 to graduate. For Dean's List honors, you need a semester GPA of 3.5 or higher with no failing grades.",academic_policy,"GPA, grade, graduation, requirement, academic, CGPA"
13,How many credits do I need to graduate?,"Bachelor's degree programs require 120-130 credits depending on your major. This typically takes 4 years of full-time study (8 semesters). Check your program handbook for details.",academic_policy,"credits, graduation, requirement, degree, complete"
14,Can I change my major?,"Yes, you can change your major once during your first two years. Submit a Major Change Form through the Student Portal and meet with your academic advisor. Some restrictions apply based on GPA.",academic_policy,"change major, switch program, transfer, different degree"
15,Is there on-campus housing?,"Yes, FAIX offers on-campus dormitories for up to 800 students. Room types include shared (RM 600/month) and single (RM 900/month). Apply through housing@faix.edu by August 1.",housing,"accommodation, dorm, housing, residence, hostel, room"
16,What student clubs are available?,"FAIX has 25+ clubs including AI Research Club, Coding Society, Cybersecurity Team, E-Sports Club, and Robotics Club. Visit faix.edu/clubs or check the Student Activities Center.",student_life,"club, society, organization, activities, extracurricular"
17,Who do I contact for academic advising?,"Each student is assigned an academic advisor. Find yours on the Student Portal under 'My Advisor'. General advising is available at advising@faix.edu or visit the Academic Advising Office in Building A, Room 201.",advising,"advisor, advising, academic help, counseling, guidance"
18,What is the attendance policy?,"Students must attend at least 80% of classes to be eligible for final exams. More than 20% absence may result in automatic failure. Medical absences require documentation submitted within 3 days.",academic_policy,"attendance, absence, class, present, miss"
19,How do I drop a course?,"You can drop courses without penalty during the first two weeks. After that, use the Course Drop Form on the Student Portal. Drops after Week 8 receive a 'W' grade. Deadline is Week 10 of the semester.",registration,"drop, withdraw, remove course, cancel, delete"
20,Where is the IT help desk?,"The IT Help Desk is in the Library Building, Ground Floor. Hours: Mon-Fri 9 AM - 5 PM. For urgent issues, email itsupport@faix.edu or call extension 2233.",technical,"IT, help, support, computer, technical, tech"
21,What research opportunities exist for undergraduates?,"Undergraduates can join faculty research projects starting in Year 2. FAIX also offers a Summer Research Program with stipends. Contact research@faix.edu or check with individual professors.",research,"research, project, undergraduate, study, investigation"
22,Are there study abroad programs?,"FAIX has exchange agreements with 15 universities in Singapore, Japan, South Korea, Australia, and Europe. Students can study abroad for one semester in Year 3. Visit international@faix.edu for details.",international,"exchange, study abroad, international, overseas, foreign"
23,What lab facilities are available?,"FAIX has 8 computer labs with latest hardware, a Cybersecurity Lab, AI/ML Lab with GPU servers, IoT Lab, and a Maker Space with 3D printers. Labs are open Mon-Sat 8 AM - 10 PM.",facilities,"lab, laboratory, computer, facility, equipment, workspace"
24,How do I get my transcript?,"Official transcripts can be requested through the Student Portal under 'Document Requests'. Processing takes 5 working days. Fee is RM 20 per copy. For urgent requests, visit the Registrar's Office.",documents,"transcript, document, certificate, record, official"
25,What is the exam schedule?,"Final exams are held during the last two weeks of each semester. The detailed schedule is posted 4 weeks before exams at portal.faix.edu. Mid-term exams are scheduled by individual instructors.",schedule,"exam, test, examination, finals, schedule, midterm"
26,Is WiFi available on campus?,"Yes, free WiFi is available throughout campus. Connect to 'FAIX-Student' network using your student credentials. For connection issues, contact IT Support at itsupport@faix.edu.",technical,"wifi, internet, wireless, connection, network"
27,What career services are offered?,"Career Services provides resume reviews, mock interviews, career fairs, job postings, and networking events. Book appointments at careers@faix.edu. Career workshops held every Thursday at 2 PM.",career,"career, job, employment, placement, professional"
28,Can international students work part-time?,"International students on student visas can work up to 20 hours per week during semesters and full-time during breaks. On-campus jobs don't require additional permits. Contact international@faix.edu for details.",international,"work, part-time, international, visa, employment, job"
29,What mental health resources are available?,"FAIX Counseling Center offers free confidential counseling. Book appointments at counseling@faix.edu or call +60-3-5544-7799. Walk-in hours: Mon-Fri 10 AM - 12 PM. Crisis hotline available 24/7.",wellness,"counseling, mental health, wellness, therapy, support, stress"
